plantNamedocketNumber,licenseNumber,reactorType,location,OwnerOperator,NRCRegion
"Plant Name
Docket Number",License Number,"Reactor
Type",Location,Owner/Operator,NRC Region
Arkansas Nuclear 105000313,DPR-51,PWR,"6 miles WNW of Russellville,  AR","Entergy Nuclear Operations, Inc. ",4
Arkansas Nuclear 205000368,NPF-6,PWR,"6 miles WNW of Russellville,  AR","Entergy Nuclear Operations, Inc. ",4
Beaver Valley 105000334,DPR-66,PWR,"17 miles W of McCandless,  PA",FirstEnergy Nuclear Operating Co. ,1
Beaver Valley 205000412,NPF-73,PWR,"17 miles W of McCandless,  PA",FirstEnergy Nuclear Operating Co. ,1
Braidwood 105000456,NPF-72,PWR,"20 miles SSW of Joliet,  IL","Exelon Generation Co., LLC ",3
Braidwood 205000457,NPF-77,PWR,"20 miles SSW of Joliet,  IL","Exelon Generation Co., LLC ",3
Browns Ferry 105000259,DPR-33,BWR,"32 miles W of Huntsville,  AL",Tennessee Valley Authority ,2
Browns Ferry 205000260,DPR-52,BWR,"32 miles W of Huntsville,  AL",Tennessee Valley Authority ,2
Browns Ferry 305000296,DPR-68,BWR,"32 miles W of Huntsville,  AL",Tennessee Valley Authority ,2
Brunswick 105000325,DPR-71,BWR,"30 miles S of Wilmington,  NC","Duke Energy Progress, LLC ",2
Brunswick 205000324,DPR-62,BWR,"30 miles S of Wilmington,  NC","Duke Energy Progress, LLC",2
Byron 105000454,NPF-37,PWR,"17 miles SW of Rockford,  IL","Exelon Generation Co., LLC ",3
Byron 205000455,NPF-66,PWR,"17 miles SW of Rockford,  IL","Exelon Generation Co., LLC ",3
Callaway05000483,NPF-30,PWR,"25 miles ENE of Jefferson  City, MO",Ameren UE ,4
Calvert Cliffs 105000317,DPR-53,PWR,"40 miles S of Annapolis,  MD",Constellation Energy,1
Calvert Cliffs 205000318,DPR-69,PWR,"40 miles S of Annapolis,  MD",Constellation Energy,1
Catawba 105000413,NPF-35,PWR,"18 miles S of Charlotte, NC","Duke Energy Carolinas, LLC ",2
Catawba 205000414,NPF-52,PWR,"18 miles S of Charlotte, NC","Duke Energy Carolinas, LLC",2
Clinton05000461,NPF-62,BWR,"23 miles SSE of  Bloomington, IL","Exelon Generation Co., LLC",3
Columbia Generating Station05000397,NPF-21,BWR,"20 miles NNE of Pasco, WA",Energy Northwest ,4
Comanche Peak 105000445,NPF-87,PWR,"40 miles SW of Fort Worth,  TX",TEX Operations Company LLC,4
Comanche Peak 205000446,NPF-89,PWR,"40 miles SW of Fort Worth,  TX",TEX Operations Company LLC,4
Cooper05000298,DPR-46,BWR,"23 miles S of Nebraska City,  NE",Nebraska Public Power District ,4
D.C. Cook 105000315,DPR-58,PWR,"13 miles S of Benton Harbor,  MI",Indiana/Michigan Power Co. ,3
D.C. Cook 2 05000316,DPR-74,PWR,"13 miles S of Benton Harbor,  MI",Indiana/Michigan Power Co. ,3
Davis-Besse05000346,NPF-3,PWR,"21 miles ESE of Toledo,  OH",FirstEnergy Nuclear Operating Co. ,3
Diablo Canyon 105000275,DPR-80,PWR,"12 miles WSW of San Luis Obispo,  CA",Pacific Gas & Electric Co. ,4
Diablo Canyon 205000323,DPR-82,PWR,"12 miles WSW of San Luis Obispo,  CA",Pacific Gas & Electric Co. ,4
Dresden 205000237,DPR-19,BWR,"25 miles SW of Joliet, IL","Exelon Generation Co., LLC ",3
Dresden 305000249,DPR-25,BWR,"25 miles SW of Joliet, IL","Exelon Generation Co., LLC ",3
